States,State_Taxes,Fed_Taxes,Comb_Taxes,COL_Index,Sales_Taxes,,,,,,Fed_Tax_Brackets
,,,,,,,,,,,
,,,,,,,,,,,
Alabama,,,,,,,,,,Tier1,0-11000
AL_T1,,0.1,0.1,88.8,0.04,,,,,Tier2,11000-44725
AL_T2,,0.12,0.12,88.8,0.04,,,,,Tier3,44725-95375
AL_T3,,0.22,0.22,88.8,0.04,,,,,Tier4,95375-182100
AL_T4,,0.24,0.24,88.8,0.04,,,,,Tier5,182100-231250
AL_T5,,0.32,0.32,88.8,0.04,,,,,Tier6,231250-578125
AL_T6,,0.35,0.35,88.8,0.04,,,,,Tier7,578125+
AL_T7,,0.37,0.37,88.8,0.04,,,,,,
,,,,,,,,,,,
Alaska,,,,,,,,,,,
AK_T1,0,0.1,0.1,124.4,0,,,,,,
AK_T2,0,0.12,0.12,124.4,0,,,,,,
AK_T3,0,0.22,0.22,124.4,0,,,,,,
AK_T4,0,0.24,0.24,124.4,0,,,,,,
AK_T5,0,0.32,0.32,124.4,0,,,,,,
AK_T6,0,0.35,0.35,124.4,0,,,,,,
AK_T7,0,0.37,0.37,124.4,0,,,,,,
Arizona,,,,,,,,,,,
AZ_T1,0.025,0.1,0.125,107.2,0.056,,,,,,
AZ_T2,0.025,0.12,0.145,107.2,0.056,,,,,,
AZ_T3,0.025,0.22,0.245,107.2,0.056,,,,,,
AZ_T4,0.025,0.24,0.265,107.2,0.056,,,,,,
AZ_T5,0.025,0.32,0.345,107.2,0.056,,,,,,
AZ_T6,0.025,0.35,0.375,107.2,0.056,,,,,,
AZ_T7,0.025,0.37,0.395,107.2,0.056,,,,,,
Arkansas,,,,,,,,,,,
AR_T1,,0.1,0.1,90.3,0.065,,,,,,
AR_T2,,0.12,0.12,90.3,0.065,,,,,,
AR_T3,,0.22,0.22,90.3,0.065,,,,,,
AR_T4,,0.24,0.24,90.3,0.065,,,,,,
AR_T5,,0.32,0.32,90.3,0.065,,,,,,
AR_T6,,0.35,0.35,90.3,0.065,,,,,,
AR_T7,,0.37,0.37,90.3,0.065,,,,,,
California,,,,,,,,,,,
CA_T1,,0.1,0.1,134.5,0.0725,,,,,,
CA_T2,,0.12,0.12,134.5,0.0725,,,,,,
CA_T3,,0.22,0.22,134.5,0.0725,,,,,,
CA_T4,,0.24,0.24,134.5,0.0725,,,,,,
CA_T5,,0.32,0.32,134.5,0.0725,,,,,,
CA_T6,,0.35,0.35,134.5,0.0725,,,,,,
CA_T7,,0.37,0.37,134.5,0.0725,,,,,,
Colorado,,,,,,,,,,,
CO_T1,0.044,0.1,0.144,105.5,0.029,,,,,,
CO_T2,0.044,0.12,0.164,105.5,0.029,,,,,,
CO_T3,0.044,0.22,0.264,105.5,0.029,,,,,,
CO_T4,0.044,0.24,0.284,105.5,0.029,,,,,,
CO_T5,0.044,0.32,0.364,105.5,0.029,,,,,,
CO_T6,0.044,0.35,0.394,105.5,0.029,,,,,,
CO_T7,0.044,0.37,0.414,105.5,0.029,,,,,,
Connecticut,,,,,,,,,,,
CT_T1,,0.1,0.1,113.1,0.0635,,,,,,
CT_T2,,0.12,0.12,113.1,0.0635,,,,,,
